QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,CorrectAnswer,QuestionText,Construct_Subject
1058,2651,"Reflect an object or a point in a diagonal line with the line of reflection given as an equation, where the line of reflection lies on the edge or outside the object",92,Reflection,C,"A point, \( Q \), has coordinates \( (-3,3) \)
The point is reflected in the line \( y=-x \)
What are the new coordinates of point \( Q \) ?","Reflect an object or a point in a diagonal line with the line of reflection given as an equation, where the line of reflection lies on the edge or outside the object_Reflection"
1059,220,Round numbers greater than 1 to one significant figure,215,Rounding to Significant Figures,A,"\(
20.4593
\)

What is the first significant figure in the number above?",Round numbers greater than 1 to one significant figure_Rounding to Significant Figures
1060,3207,"Understand the terms equilateral and regular, and recognise the notation for regular polygons",84,Properties of Polygons,D,"The dashes on the sides tell us that this is a \(__________\) polygon

What word completes the sentence? ![A shape with five equal sides. Each side has a small dash through the middle.]()","Understand the terms equilateral and regular, and recognise the notation for regular polygons_Properties of Polygons"
1061,1148,Find the nth term rule for ascending quadratic sequences in the form x² + bx + c,172,Quadratic Sequences,D,"\(10,21,34,49,66, \ldots\)

When calculating the nth-term rule of this sequence, 
what should replace the triangle?

nth-term rule: \( n^{2} \)\( \color{red}\triangle \)  \(n\) \( \color{purple}\square \)",Find the nth term rule for ascending quadratic sequences in the form x² + bx + c_Quadratic Sequences
1062,162,Interpret and carry out mental division using a bar model,208,Written Division,C,"Find the value of \( P \). ![Horizontal green bar divided into 5 equal sections. Each section is labelled with a ""P"". Curly bracket shows that 3 of the sections sum to 615.]()",Interpret and carry out mental division using a bar model_Written Division
1063,3440,"Given an x value, find the corresponding y value from a non-linear graph",57,Cubics and Reciprocals,B,"Here is the graph of
\(
y=\frac{4}{x}
\)

What is the value of \( y \) when \( x=-1 \) ? ![A graph with two curves. Y axis from -5 to 5 and x axis from -5 to 5 marked in increments of 1.  One curve is in the positive x, positive y quadrant. It starts at the top close to the line x = 1, as we move right it drops very quickly towards the x axis then levels off to travel almost parallel to the line y =1. It goes through (1, 4) (2,2) and (4,1).  One curve is in the negative x negative y quadrant. It starts at the top left of the quadrant almost parallel to y = -1, then we move right and it curves downwards towards the y axis then levels off to travel almost parallel to the x = -1 line. It goes through (-4, -1) (-2, -2) and (-1,-4)]()","Given an x value, find the corresponding y value from a non-linear graph_Cubics and Reciprocals"
1064,2087,Estimate the volume or capacity of an object,189,Volume of Prisms,A,"Each of these measurements matches one of these objects. ![An image of 4 objects and 4 measurements. The objects are an egg cup, a cereal box, a chest of drawers and a piggy bank. And, the measurements are 87 cm^3, 1013 cm^3, 4172 cm^3 and 197,177 cm^3.]() Which measurement most likely matches the egg cup?",Estimate the volume or capacity of an object_Volume of Prisms
1065,920,Recognise the equations of horizontal lines from a diagram,258,Horizontal and Vertical Lines,D,"What is the equation of this line? ![The diagram shows a pair of axes, x and y ranging from -6 to 5 horizontally and -3 to 4 vertically. There is a horizontal line that passes through the y axis at -2. ]()",Recognise the equations of horizontal lines from a diagram_Horizontal and Vertical Lines
1066,1266,Recognise and name an identity,70,Writing Expressions,D,"Which of the following is the most appropriate name for this:
\(p-3 \equiv-(3-p)\)",Recognise and name an identity_Writing Expressions
1067,3114,Identify the outcomes of a single event,111,Probability of Single Events,A,"This is a fair spinner.

How many possible outcomes are there if it is spun once? ![A hexagonal shaped spinner with 6 equal sections labelled 1, 3, 3, 5, 5 and 5.]()",Identify the outcomes of a single event_Probability of Single Events
1068,1414,Expand products of three binomials in the form (x + a)(x + b)(x + c),335,Expanding Triple Brackets and more,C,Which of the following answers shows a correct expansion of the expression below? \( (x-2)^{3} \),Expand products of three binomials in the form (x + a)(x + b)(x + c)_Expanding Triple Brackets and more
1069,3176,"For a given algebraic input, find the output of a function machine",649,Function Machines,B,"Tom and Katie are discussing the output of this 2-step function machine ![A two step function machine with x as the input. The first functions is x5 and the second function says 'subtracted from 8'. The output is blank.]() Tom says the output is \( \mathbf{5} \boldsymbol{x}-\mathbf{8} \)

Katie says the output is \( \mathbf{8}-\mathbf{5} \boldsymbol{x} \)

Who is correct?","For a given algebraic input, find the output of a function machine_Function Machines"
1070,246,Carry out addition problems involving one negative integer,211,Adding and Subtracting Negative Numbers,C,"Jamie is counting up in threes. He starts at \( -14 \).

What is the \( 5^{\text {th }} \) number he says?",Carry out addition problems involving one negative integer_Adding and Subtracting Negative Numbers
1071,212,Round non-integers to the nearest 100,213,"Rounding to the Nearest Whole (10, 100, etc)",A,What is \( \mathbf{1 6 5 1 . 4 3} \) rounded to the nearest hundred?,"Round non-integers to the nearest 100_Rounding to the Nearest Whole (10, 100, etc)"
1072,1737,Use a protractor to measure angles between 90° and 180°,180,Measuring Angles,B,What is the size of this angle? ![An image of a protractor. There is a red line going from the middle to 0/180 and another line from the middle to in between 160/20 and 170/10. ](),Use a protractor to measure angles between 90° and 180°_Measuring Angles
1073,371,Convert fractions to two digit integer percentages,238,Converting between Fractions and Percentages,A,"Convert this fraction to a percentage
\( \frac{4}{5} \)",Convert fractions to two digit integer percentages_Converting between Fractions and Percentages
1074,3134,Identify factors of algebraic expressions,52,Factorising into a Single Bracket,D,Which of the following is a factor of: \( 6 n^{2}-9 \),Identify factors of algebraic expressions_Factorising into a Single Bracket
1075,1354,"Mark a point in the second quadrant of a 2D grid having been given its coordinates, where both values are integers",167,Graphing Linear Inequalities (Shading Regions),B,Which region describes where \( \boldsymbol{x}>\mathbf{0} \) and \( \boldsymbol{y}<\mathbf{0} \) ? ![A set of axis showing all four quadrants. y axis from -3 to 3 and x axis from -3 to 3](),"Mark a point in the second quadrant of a 2D grid having been given its coordinates, where both values are integers_Graphing Linear Inequalities (Shading Regions)"
1076,3349,Identify and represent sets using set notation,111,Probability of Single Events,A,"Tom and Katie are discussing the probability spinner

Tom says the sample space can be written as: \( S=\{5,6\} \)

Katie says the sample space can be written as: \( S=\{5,5,6,6,6\} \)
Who do you agree with? ![A circle divided into 5 equal sections. 3 of the sections are labelled with a purple number 6. 2 of the sections are labelled with a blue number 5.]()",Identify and represent sets using set notation_Probability of Single Events
1077,1042,Solve one-step linear inequalities in one variable where the variable appears on one side of the equation,166,Solving Linear Inequalities,A,"In which region would \( x=-5.3 \) belong? ![A Venn diagram made up of two overlapping circles. One circle is labelled x+5.3 is less than or equal to 0 and the other circle is labelled -(5.3+x)/2 is greater than 0.
A is in the x+5.3 is less than or equal to 0 circle only.
B is in the overlap of the two circles.
C is in the -(5.3+x)/2 is great than 0 circle only.
D is outside both circles.]()",Solve one-step linear inequalities in one variable where the variable appears on one side of the equation_Solving Linear Inequalities
1078,2150,Convert between kg and tonne,198,Weight Units,A,\( 3000 \mathrm{~kg} \) is the same as \( ___ \) tonnes,Convert between kg and tonne_Weight Units
1079,479,Calculate the square root of a number,246,"Square Roots, Cube Roots, etc",D,What is the square root of sixteen?,"Calculate the square root of a number_Square Roots, Cube Roots, etc"
1080,220,Round numbers greater than 1 to one significant figure,215,Rounding to Significant Figures,A,"Round this number to \( 1 \) significant figure:
\[
73975
\]",Round numbers greater than 1 to one significant figure_Rounding to Significant Figures
1081,1560,Given a situation sketch an appropriate real life graph,58,Real Life Graphs,D,A taxi company has a \( £ 1.50 \) fixed charge and then charges \( 60 p \) per mile. Sam correctly sketches a graph to show the cost of different length journeys with the company. Which of the following graphs would best match Sam's sketch?,Given a situation sketch an appropriate real life graph_Real Life Graphs
1082,1551,"Given a negative x value, find the corresponding y value for the curve y = x3 + c",57,Cubics and Reciprocals,A,"Tom and Katie are discussing the table of values for \( \boldsymbol{y}=\boldsymbol{x}^{\mathbf{3}} \) \begin{tabular}{|l|l|}
\hline\( x \) & \(\color{gold}\bigstar\) \\
\hline\( y \) & \( 27 \) \\
\hline
\end{tabular} Tom says the star could be \( 3 \).

Katie says the star could be \( -3 \).

Who is correct?","Given a negative x value, find the corresponding y value for the curve y = x3 + c_Cubics and Reciprocals"
1083,1407,Expand two brackets with linear terms in the form (x + a)(x + b),51,Expanding Double Brackets,D,"What should replace the circle when these two brackets are expanded and simplified?
\(
(p+5)(p-4) \equiv p^{2} \triangle p \bigcirc
\)",Expand two brackets with linear terms in the form (x + a)(x + b)_Expanding Double Brackets
1084,50,Find 100 less than a given number,202,Place Value,C,"What number is \( 100 \) less than \( 876,099 ? \)",Find 100 less than a given number_Place Value
1085,322,Divide two decimals with a different number of decimal places,224,Multiplying and Dividing with Decimals,B,\( 50.09 \div 0.1= \),Divide two decimals with a different number of decimal places_Multiplying and Dividing with Decimals
1086,3144,Change decimals of hours into minutes,209,Time,C,\( 0.6 \) hours \( = _____\) minutes,Change decimals of hours into minutes_Time
1087,1743,Find missing angles using angles around a point,181,"Basic Angle Facts (straight line, opposite, around a point, etc)",B,"What is the size of angle \( x \) ? ![Angles around a point split into two parts, one is labelled 290 degrees and the other x]()","Find missing angles using angles around a point_Basic Angle Facts (straight line, opposite, around a point, etc)"
1088,3407,Identify pairs of numbers that satisfy an equation with two unknowns ,67,Substitution into Formula,B,"\[
x+y=8
\]
Which pair of numbers fits the equation?",Identify pairs of numbers that satisfy an equation with two unknowns _Substitution into Formula
1089,52,Find another power of 10 less than a given number,202,Place Value,A,"What number is \( 10,000 \) less than \( 509,570 \) ?",Find another power of 10 less than a given number_Place Value
1090,1274,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just two linear variables,251,Simplifying Expressions by Collecting Like Terms,B,"Simplify the following expression by collecting
like terms
\(6 x-2 y-x+3 y\)",Simplify algebraic expressions to maintain equivalence by collecting like terms involving just two linear variables_Simplifying Expressions by Collecting Like Terms
1091,1276,Simplify algebraic expressions to maintain equivalence by collecting like terms involving non-linear variables,251,Simplifying Expressions by Collecting Like Terms,C,Simplify the following by collecting like terms. \( \frac{2}{3} k^{2}+\frac{1}{6} k^{2}-\frac{1}{3} k^{2}+\frac{5}{6} k^{2} \),Simplify algebraic expressions to maintain equivalence by collecting like terms involving non-linear variables_Simplifying Expressions by Collecting Like Terms
1092,2760,Calculate the median as an average from an even numbered list of data,102,"Averages (mean, median, mode) from a List of Data",B,"What is the median of the following numbers?
\[
2, \quad 0.2, \quad 0.02, \quad 0.002
\]","Calculate the median as an average from an even numbered list of data_Averages (mean, median, mode) from a List of Data"
1093,2792,Identify the mode from a frequency table,340,Averages and Range from Frequency Table,A,"This table shows the ages of people on a university running team.

What is the modal age? \begin{tabular}{|c|c|l|}
\hline Age & Frequency & \\
\hline \( 18 \) & \( 7 \) & \\
\hline \( 19 \) & \( 3 \) & \\
\hline \( 20 \) & \( 1 \) & \\
\hline \( 21 \) & \( 2 \) & \\
\hline
\end{tabular}",Identify the mode from a frequency table_Averages and Range from Frequency Table
1094,3272,Multiply 2 digit integers by 2 digit integers using long multiplication,207,Written Multiplication,A,\( \begin{array}{r}\quad58 \\ \times 22 \\ \hline\end{array} \) What number will be in the ones/units column of the final answer?,Multiply 2 digit integers by 2 digit integers using long multiplication_Written Multiplication
1095,460,Write numbers greater than 1 in standard form,47,Standard Form,A,"\[
300200
\]
Write this number using standard form",Write numbers greater than 1 in standard form_Standard Form
1096,1377,"Calculate the midpoint between two coordinates in 2D, where all the values are integers but at least one is negative",408,Midpoint Between Two Co-ordinates,A,"What is the midpoint of \( (4,3) \) and \( (1,-5) \) ?","Calculate the midpoint between two coordinates in 2D, where all the values are integers but at least one is negative_Midpoint Between Two Co-ordinates"
1097,1101,Generate an ascending integer linear sequence from the nth term rule,171,Linear Sequences (nth term),B,"What is the first term of the sequence given by this rule:
\[
4 n+3
\]",Generate an ascending integer linear sequence from the nth term rule_Linear Sequences (nth term)
1098,1632,Divide algebraic fractions involving non-linear expressions,1079,Multiplying and Dividing Algebraic Fractions,D,"STEP \( 3 \)

Which of the options is the final answer, expressed as simply as possible?
\(
\begin{aligned}
& \frac{3 x+1}{3} \div \frac{9 x^{2}-1}{12} \\
= & \frac{3 x+1}{3} \times \frac{12}{9 x^{2}-1} \\
= & \frac{3 x+1}{3} \times \frac{12}{(3 x-1)(3 x+1)}
\end{aligned}
\)",Divide algebraic fractions involving non-linear expressions_Multiplying and Dividing Algebraic Fractions
1099,849,Round the elements of a calculation to one significant figure to perform an estimation,216,Estimation,A,"Julie wants to estimate the answer to this calculation by rounding each number to \( 1 \) significant figure.

\[
87.4 \times 0.3727
\]

What number should replace \( \mathbf{8 7 . 4} \) in her estimation?",Round the elements of a calculation to one significant figure to perform an estimation_Estimation
1100,1428,Factorise a quadratic expression in the form x² + bx + c,53,Factorising into a Double Bracket,A,"Factorise this expression, if possible:
\(
p^{2}+5 p+6
\)",Factorise a quadratic expression in the form x² + bx + c_Factorising into a Double Bracket
1101,700,"Given information about one part, work out other parts",241,Sharing in a Ratio,A,"Josh and Lucy share some money in the ratio \( 3: 7 \)

Josh receives \( £ 84 \).

How much money does Lucy receive?","Given information about one part, work out other parts_Sharing in a Ratio"
1102,238,Order negative decimals with the same number of digits,210,Ordering Negative Numbers,D,"Here are the depths below sea level of \( 3 \) creatures:
Tuna: \( -2.6 m \)
Ray: \( -6 m \)
Ling: \( -1.5 \mathrm{~m} \)
Arrange their depths in ascending order, starting with the deepest",Order negative decimals with the same number of digits_Ordering Negative Numbers
1103,1400,"Calculate the distance between two coordinates in 2D, where all the values are integers but at least one is negative",410,Distance Between Two Co-ordinates,A,"Amy is trying to work out the distance between these two points: \( (2,-5) \) and \( (-7,1) \) She labels them like this: \( \begin{array}{cccc}x_{1} & y_{1} & x_{2} & y_{2} \\ (2, & -5) & (-7, & 1)\end{array} \) And then decides to use this formula: \( \sqrt{\left(x_{2}-x_{1}\right)^{2}+\left(y_{2}-y_{1}\right)^{2}} \) What does the first bracket equal?","Calculate the distance between two coordinates in 2D, where all the values are integers but at least one is negative_Distance Between Two Co-ordinates"
1104,2758,Calculate the mean as an average from a list of data,108,Pictogram,C,"What is the mean of this set of data?
\[
5, \quad 2, \quad 0, \quad 2, \quad 3
\]",Calculate the mean as an average from a list of data_Pictogram
1105,3176,"For a given algebraic input, find the output of a function machine",649,Function Machines,D,Which of the following pairs of function machines are correct?,"For a given algebraic input, find the output of a function machine_Function Machines"
1106,1962,Recall the formulae for the trigonometric ratios,279,Right-angled Triangles (SOHCAHTOA),D,"\(
\bigstar=\frac{\text { Hypotenuse }}{\text { Opposite }}
\)

What should replace the star?",Recall the formulae for the trigonometric ratios_Right-angled Triangles (SOHCAHTOA)
1107,1446,Recognise whether you need to add or subtract linear equations in order to eliminate a variable,63,Simultaneous Equations,A,"Tom and Katie are discussing this pair of simultaneous equations: \( \begin{array}{l}3 x-2 y=15 \\ x+2 y=20\end{array} \) Tom says if you add the two equations together you will eliminate a variable

Katie says if you subtract the two equations together you will eliminate a variable

Who is correct?",Recognise whether you need to add or subtract linear equations in order to eliminate a variable_Simultaneous Equations
1108,403,"Calculate the whole amount, given a fraction of the amount",225,Fractions of an Amount,D,"Here is a number card 
\( \frac{1}{6} \) of \( A \) is \( 12 \) 
What is \( \frac{1}{8} \) of \( A \) ? ![A pink rounded rectangle with a capital A typed inside]()","Calculate the whole amount, given a fraction of the amount_Fractions of an Amount"
1109,4,Count a number of objects,172,Quadratic Sequences,C,"\[
1,3,6,10, \ldots \text { ? }
\]

Which pattern matches the sequence above?",Count a number of objects_Quadratic Sequences
1110,483,Raise a positive integer to a positive integer power,245,"Squares, Cubes, etc",C,"Tom and Katie are arguing about powers.
\( m \) and \( n \) are integers

Tom says there is no value of \( m \) that means \( 2^{m} \) ends in \( 0 \).
Katie says there is no value of \( n \) that means \( 5^{n} \) ends in \( 0 \).
Who is correct?","Raise a positive integer to a positive integer power_Squares, Cubes, etc"
1111,638,Use direct proportion to solve unitary missing amounts in problems (e.g. recipes),243,Direct Proportion,C,"Eight bottles of water cost \( £ 3.60 \).

How much does one bottle of water cost?",Use direct proportion to solve unitary missing amounts in problems (e.g. recipes)_Direct Proportion
1112,578,Calculate percentage of an amount mentally where the percent is greater than 100,233,Percentages of an Amount,B,What is \( 120 \% \) of \( 50 \) ?,Calculate percentage of an amount mentally where the percent is greater than 100_Percentages of an Amount
1113,275,Carry out division problems involving two negative integers,212,Multiplying and Dividing Negative Numbers,C,\( (-3) \div(-5)= \),Carry out division problems involving two negative integers_Multiplying and Dividing Negative Numbers
1114,1385,Calculate a positive fractional gradient between two coordinates where all values are positive,409,Gradient Between Two Co-ordinates,A,"Max is working out the gradient between these two points. He has worked out the lengths of the triangle.
What is the gradient? ![A coordinate grid with a right angled triangle drawn on it. The hypotenuse of the triangle is between the coordinates (1,2) and (7,5). The base of the triangle is labelled with 6 and the perpendicular height of the triangle is labelled with 3.]()",Calculate a positive fractional gradient between two coordinates where all values are positive_Gradient Between Two Co-ordinates
1115,1493,Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 ,65,Quadratic Equations,A,"One of these quadratic equations will give no real solutions.
Which one?",Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 _Quadratic Equations
1116,3176,"For a given algebraic input, find the output of a function machine",649,Function Machines,B,Which of the following pairs of function machines are correct?,"For a given algebraic input, find the output of a function machine_Function Machines"
1117,580,Find the whole amount given a percentage of the amount mentally,233,Percentages of an Amount,A,What should replace the star? ![A number line from 0% to 100% with 20% labelled with 90 and a star above the 100%](),Find the whole amount given a percentage of the amount mentally_Percentages of an Amount
1118,2635,Identify whether two shapes are similar or not,90,Length Scale Factors in Similar Shapes,D,Tom and Katie are discussing similarity. Who is correct? Tom says these two rectangles are similar ![Two rectangles of different sizes. One rectangle has width 2cm and height 3cm. The other rectangle has width 4cm and height 9cm. ]() Katie says these two rectangles are similar ![Two rectangles of different sizes. One rectangle has width 4cm and height 6cm. The other rectangle has width 7cm and height 9cm. ](),Identify whether two shapes are similar or not_Length Scale Factors in Similar Shapes
1119,2028,Convert between cm and m,195,Length Units,B,How should you write \( 5 \) kilometres and \( 7 \) centimetres in metres?,Convert between cm and m_Length Units
1120,1405,Multiply a single term over a bracket where the term on the outside contains a letter and the inside contains a linear expression,50,Expanding Single Brackets,D,Multiply out the brackets: \( m(2 m-7) \),Multiply a single term over a bracket where the term on the outside contains a letter and the inside contains a linear expression_Expanding Single Brackets
1121,301,Add decimals with the same number of decimals places,223,Adding and Subtracting with Decimals,D,\( 0.8+0.2= \),Add decimals with the same number of decimals places_Adding and Subtracting with Decimals
1122,2548,"Identify and count the faces, vertices and edges of a 3D shape",177,Names and Properties of 3D Shapes,C,How many faces does this shape have? ![\( \theta \)](),"Identify and count the faces, vertices and edges of a 3D shape_Names and Properties of 3D Shapes"
1123,2849,Interpret a bar chart,106,Block Graphs and Bar Charts,A,"![A bar chart with blue vertical bars. The x-axis is titled ""Fruits"" and the y-axis is titled ""Number of Children"" and its scale is from 0 to 50 in steps of 10. The bars represent the following numbers of children: Banana, 30; Apple, 20; Kiwi Fruits, 30; Orange, 35; Pineapple, 10.]() \begin{tabular}{|c|c|}
\hline
Type of Fruit & Number of Children\\
\hline Banana & \(  \) \\
\hline Apple & \( 20 \) \\
\hline Kiwi & \( 30 \) \\
\hline Orange & \(  \) \\
\hline Pineapple & \( 10 \) \\
\hline
\end{tabular} Using the bar chart, what two numbers are missing from the table?",Interpret a bar chart_Block Graphs and Bar Charts
1124,3174,For a given input find the output of a function machine,649,Function Machines,D,Here is a function machine Input \( \longrightarrow \times 5 \longrightarrow-1 \quad \longrightarrow \) Output What is the output when the input is \( 9 ? \),For a given input find the output of a function machine_Function Machines
1125,3273,Multiply 3 digit integers by 2 digit integers using long multiplication,207,Written Multiplication,D,"What is a correct way to set up this problem to solve it using long multiplication?
\[
128 \times 26
\]",Multiply 3 digit integers by 2 digit integers using long multiplication_Written Multiplication
1126,1761,Find missing angles on parallel lines using more than one angle fact,182,Angle Facts with Parallel Lines,C,Jane is trying to find the angles \( x \) and \( y \). Here are her workings. Which step is incorrect? ![A diagram showing parallel lines and two transversals. Some angles are given and one is labelled x](),Find missing angles on parallel lines using more than one angle fact_Angle Facts with Parallel Lines
1127,1614,Simplify an algebraic fraction by factorising both the numerator and denominator,1079,Multiplying and Dividing Algebraic Fractions,B,"Write the following as a single fraction, giving your answer as simply as possible: \( \frac{4 t^{2}-4 t-48}{8} \times \frac{2}{t-4} \)",Simplify an algebraic fraction by factorising both the numerator and denominator_Multiplying and Dividing Algebraic Fractions
1128,233,Identify where negative non-integers lie on a number line,210,Ordering Negative Numbers,B,"Here is a number line: ![A horizontal number-line with 13 vertical, equally spaced, dashes representing the position of numbers. The 1st dash is labelled with ""-6"", the 3rd dash is labelled ""-4"", the 5th dash is labelled ""-2"", the 7th dash is labelled ""0"", the 9th dash is labelled ""2"", the 11th dash is labelled ""4"" and the 13th dash is labelled ""6""    A red arrow, labelled with a question mark is pointing halfway between the 6th and 7th dashes. ]() Which of the following numbers could be indicated by the arrow?",Identify where negative non-integers lie on a number line_Ordering Negative Numbers
1129,246,Carry out addition problems involving one negative integer,211,Adding and Subtracting Negative Numbers,A,"![Diagram of a thermometer showing positive and negative temperatures, with an arrow labelled +9 going from -3 up to 6]() Which of the following calculations is represented on the thermometer?",Carry out addition problems involving one negative integer_Adding and Subtracting Negative Numbers
1130,1810,Use facts about interior angles in triangles with algebra to solve equations,64,Linear Equations,A,"Find the value of \( x \). ![A triangle with the angles labelled: 4x, 2x - 12 and 4x + 42]()",Use facts about interior angles in triangles with algebra to solve equations_Linear Equations
1131,161,Understand the non-commutativity of division,204,Mental Multiplication and Division,D,"Miran says the following:

""It doesn't matter if you do \( \mathbf{7} \div \mathbf{1 4 0} \) or \( \mathbf{1 4 0} \div \mathbf{7} \), you get the same answer""

What do you think?",Understand the non-commutativity of division_Mental Multiplication and Division
1132,2052,Identify a unit of area,196,Area Units,B,"Tom and Katie are discussing units of area
Tom says centimetres is a unit of area
Katie says \( \mathrm{mm}^{2} \) is a unit of area
Who is correct?",Identify a unit of area_Area Units
1133,2864,"Solve comparison, sum and difference problems using information presented in pictograms",108,Pictogram,D,"This pictogram shows the different types of music Bob has in his music collection.

How many more Pop CDs does Bob have than Rock CDs? ![A pictogram showing the number of CDs Bob has in his musical collection. Pop has 3 and a half symbols, rock has 2 symbols, blues has 2 and a quarter symbols, jazz has 3 and a quarter symbols and classical has 1 and three-quarter symbols. Each symbol represents 4 CDs.]()","Solve comparison, sum and difference problems using information presented in pictograms_Pictogram"
1134,246,Carry out addition problems involving one negative integer,211,Adding and Subtracting Negative Numbers,B,"What number belongs in the box?
\(
(-11)+7=
\square\)",Carry out addition problems involving one negative integer_Adding and Subtracting Negative Numbers
1135,898,"Given a positive y value, find an x value in a table of values for lines in the form y = c - x ",257,Plotting Lines from Tables of Values,D,"This is a part of the table of values for the equation
\[
y=6-x
\] \begin{tabular}{|l|l|}
\hline\( x \) & \( \bigstar \) \\
\hline\( y \) & \( 8 \) \\
\hline
\end{tabular} What should replace the star?","Given a positive y value, find an x value in a table of values for lines in the form y = c - x _Plotting Lines from Tables of Values"
1136,400,Calculate unit fractions of an amount,209,Time,A,\( \frac{1}{8} \) th of an hour \( = _______ \) minutes,Calculate unit fractions of an amount_Time
1137,1662,Label angles using correct 3-letter notation (e.g. angle ADB),73,"Types, Naming and Estimating",C,Which of the following correctly describes the marked angle? ![An image of square ABCE with various triangles attached to it.  The marked angle is between the lines CE and BC.](),"Label angles using correct 3-letter notation (e.g. angle ADB)_Types, Naming and Estimating"
1138,1613,Simplify an algebraic fraction by factorising the denominator,1077,Simplifying Algebraic Fractions,C,Simplify the following: \( \frac{9 y^{3}}{6 y^{2}+3 y} \),Simplify an algebraic fraction by factorising the denominator_Simplifying Algebraic Fractions
1139,2560,Find the area of rectilinear shapes by counting squares,75,Area of Simple Shapes,A,"What can you say about the areas of the two squares? ![Two squares drawn on a grid. The blue square is three grid squares wide, and the three grid squares long. The red square is drawn diagonally, so that each side goes through two grid squares from corner to corner.]()",Find the area of rectilinear shapes by counting squares_Area of Simple Shapes
1140,2564,Calculate the area of a rectangle where the dimensions are given in the same units,75,Area of Simple Shapes,B,"What is the area of this rectangle? ![A rectangle, 5cm by 12cm]()",Calculate the area of a rectangle where the dimensions are given in the same units_Area of Simple Shapes
1141,378,Convert percentages containing 1 decimal place to fractions,238,Converting between Fractions and Percentages,C,How do you write \( 0.5 \% \) as a fraction?,Convert percentages containing 1 decimal place to fractions_Converting between Fractions and Percentages
1142,1439,Complete the square for expressions that end up in the form (x + a)² + b,256,Completing the Square,D,"When Aaron completes the square, what should replace the star? \( p^{2}-p-1 \equiv(p \bigstar )^{2} \triangle \)",Complete the square for expressions that end up in the form (x + a)² + b_Completing the Square
1143,3112,Given the number of sides of a polygon identify the name,84,Properties of Polygons,C,"If you continue to join up the intersections of the curves with straight lines, which of the following regular polygons could you have constructed? ![A circle has been intersected by curves at 5 equally spaced intervals about its circumference]()",Given the number of sides of a polygon identify the name_Properties of Polygons
1144,1526,Substitute positive integer values into expressions involving powers or roots,67,Substitution into Formula,A,"When \( h=5 \)
\(
h^{2}=
\)",Substitute positive integer values into expressions involving powers or roots_Substitution into Formula
1145,737,Add surds in the form va + vb,248,Simplifying Surds,D,"\(
\sqrt{3}+\sqrt{5}
\)

Simplify, if possible.",Add surds in the form va + vb_Simplifying Surds
1146,3382,Use area to write algebraic expressions,69,Trial and Improvement and Iterative Methods,D,"The area of the rectangle on the right is \( 8 \mathrm{~cm}^{2} \).

Which of the following equations can we write from the information given? ![A rectangle with the short side labelled \(x\) and the opposite side labelled \(x^2 + 9\).]()",Use area to write algebraic expressions_Trial and Improvement and Iterative Methods
1147,1999,"Know the exact value of tan(30), tan(45) and tan(60)",282,Exact Values of Trigonometric Ratios,A,What is the exact value of \( \tan (30) \) ?,"Know the exact value of tan(30), tan(45) and tan(60)_Exact Values of Trigonometric Ratios"
1148,1400,"Calculate the distance between two coordinates in 2D, where all the values are integers but at least one is negative",410,Distance Between Two Co-ordinates,D,"Amy is trying to work out the distance between these two points: \( (2,-5) \) and \( (-7,1) \) She labels them like this: \( \begin{array}{cccc}x_{1} & y_{1} & x_{2} & y_{2} \\ (2, & -5) & (-7, & 1)\end{array} \) And then decides to use this formula: \( \sqrt{\left(x_{2}-x_{1}\right)^{2}+\left(y_{2}-y_{1}\right)^{2}} \) \( \sqrt{(-9)^{2}+(6)^{2}} \) What is the distance between the points?","Calculate the distance between two coordinates in 2D, where all the values are integers but at least one is negative_Distance Between Two Co-ordinates"
1149,1263,Recognise and name a formula,70,Writing Expressions,B,"Which of the following is the most appropriate word to describe: \( V=\frac{1}{3} \pi r^{2} h \) ![A cone, with the dimensions labelled h and r]()",Recognise and name a formula_Writing Expressions
1150,1522,Rearrange formulae to change the subject where the subject appears once and two steps are needed,60,Rearranging Formula and Equations,C,"Rearrange the following equation to make \( v \) the subject
\(F=\frac{v^{2}}{r}\)",Rearrange formulae to change the subject where the subject appears once and two steps are needed_Rearranging Formula and Equations
1151,2026,Convert between cm and mm,195,Length Units,B,How many millimetres are there in \( 1 \) centimetre?,Convert between cm and mm_Length Units
1152,854,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",33,BIDMAS,A,"Tom and Katie are discussing the order of operations
Tom says: \( 6+4-2 \equiv 4-2+6 \)
Katie says: \( 6+4 \times 2 \equiv 6 \times 4+2 \)
Who is correct?","Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division_BIDMAS"
1153,1805,Find missing angles in a right-angled triangle,439,Angles in Triangles,D,"Tom and Katie are arguing about triangles.
Tom says a triangle can have two right angles.
Katie says only a scalene triangle can have a right angle.
Who is correct?",Find missing angles in a right-angled triangle_Angles in Triangles
